Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
Tiburon,https://www.crunchbase.com/organization/tiburon-2,"Family Investment Office, Micro VC, Venture Capital",28,3,"Munich, Bayern, Germany","Early Stage Venture, Seed",Tiburon is a private European-American seed investment boutique,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://tiburon.de/,https://www.linkedin.com/company/tiburon-unternehmensaufbau-gmbh,27,15,
Axel Springer Digital Ventures,https://www.crunchbase.com/organization/axel-springer-digital-ventures-inc,"Corporate Venture Capital, Venture Capital",28,10,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Axel Springer Digital Ventures is the corporate venture capital arm of Axel Springer and is focused on investing in early stage companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.axelspringer.com/en/axel-springer-digital-ventures,https://www.linkedin.com/company/axel-springer-digital-ventures/,22,6,1
Berlin Ventures,https://www.crunchbase.com/organization/berlin-ventures,"Micro VC, Venture Capital",28,6,"Berlin, Berlin, Germany",Seed,"Berlin Ventures invests in new and innovative internet companies as entrepreneur-driven pre-seed, seed and growth capital investors.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://www.berlinventures.com,https://www.linkedin.com/company/berlin-ventures/about/,25,15,
TRUMPF Venture,https://www.crunchbase.com/organization/trumpf-venture,Corporate Venture Capital,27,1,"Ditzingen, Baden-Wurttemberg, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",TRUMPF Venture is the Corporate Venture Capital unit of the TRUMPF group,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://www.trumpf.com/s/venture,https://www.linkedin.com/company/trumpf-venture,18,12,
coinIX,https://www.crunchbase.com/organization/coinix,"Micro VC, Venture Capital",27,2,"Hamburg, Hamburg, Germany","Convertible Note, Early Stage Venture, Initial Coin Offering, Seed",CoinIX manages a portfolio of cryptocurrencies and assets.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-11-30,day,http://www.coinix.capital,https://www.linkedin.com/company/coinix/about/,25,1,
HR Ventures,https://www.crunchbase.com/organization/hr-ventures,Corporate Venture Capital,27,7,"Dreieich, Hessen, Germany",,HR Ventures is an early stage venture capital firm with the focus on Travel Tech in Europe.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,https://www.hrventures.de/,https://www.linkedin.com/company/hr-ventures-gmbh/,18,2,
ABACON CAPITAL,https://www.crunchbase.com/organization/abacon-capital,"Fund Of Funds, Hedge Fund, Private Equity Firm, Venture Capital",26,5,"Hamburg, Hamburg, Germany","Early Stage Venture, Late Stage Venture, Post-Ipo, Private Equity, Secondary Market","ABACON CAPITAL is a family-owned investment firm focussed on Sustainable Energy Transition, New Age Mobility, Deep Tech, and Real Estate.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,year,https://abacon.capital,https://www.linkedin.com/company/abacon-capital/,22,4,5
COI Partners,https://www.crunchbase.com/organization/co-investor-22b0,Private Equity Firm,26,13,"Frankfurt, Hessen, Germany","Late Stage Venture, Private Equity",COI Partners is a private equity investor focused on mid-sized growth companies in German-speaking countries.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,https://coi-partners.com,https://www.linkedin.com/company/co-investor-partners,25,5,2
Born2Grow,https://www.crunchbase.com/organization/born2grow,"Micro VC, Venture Capital",26,6,"Heilbronn, Baden-Wurttemberg, Germany","Early Stage Venture, Seed",Born2Grow is a Heilbronn-based venture capital fund focused on offering early stage investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.born2grow.de,https://www.linkedin.com/company/born2grow-gmbh-&-co-kg/,22,7,
Smac Partners,https://www.crunchbase.com/organization/smac-partners,"Private Equity Firm, Venture Capital",26,16,"Unterhaching, Bayern, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Venture",Smac Partners focused on early-stage ICT technologies and services of start-ups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.smacpartners.com,,22,4,5
L-Bank,https://www.crunchbase.com/organization/l-bank,"Government Office, Investment Bank",24,3,"Karlsruhe, Baden-Wurttemberg, Germany",Early Stage Venture,"The L-Bank is committed to ensuring a high-performing economy, a high quality of life and a secure future.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.l-bank.de,https://www.linkedin.com/company/l-bank/about/,21,12,1
Advanced Blockchain,https://www.crunchbase.com/organization/advanced-blockchain,"Incubator, Venture Capital",24,,"Berlin, Berlin, Germany","Early Stage Venture, Seed",We invest in early stage companies and help them grow by providing technical and operational resources to support them.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.advancedblockchain.com,https://www.linkedin.com/company/blockchainag,24,2,
better ventures,https://www.crunchbase.com/organization/better-ventures-9d06,Angel Group,24,2,"München, Bayern, Germany","Early Stage Venture, Seed, Venture",better ventures is an impact angel club backing founders aiming to fix the world.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,month,https://www.betterventures.io,https://www.linkedin.com/company/betterventures-io/,23,6,
Barclays Bank,https://www.crunchbase.com/organization/barclays-bank,Investment Bank,24,11,"Hamburg, Hamburg, Germany","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Venture","Barclays is a British universal bank, are diversified by business, by different types of customers and clients, and by geography.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1690-01-01,year,https://www.barclays.de/,https://www.linkedin.com/company/barclays-consumer-bank-europe/,23,11,9
Berlin Technologie Holding,https://www.crunchbase.com/organization/berlin-technologie-holding,"Micro VC, Venture Capital",23,5,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture",Berlin Technologie Holding (BTH) focuses on investments in technology and technology-enabled businesses.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-03-01,day,http://www.berlinholding.com,http://www.linkedin.com/company/3119788,17,9,
Hanse Ventures,https://www.crunchbase.com/organization/hanseventures,"Incubator, Micro VC",23,3,"Hamburg, Hamburg, Germany","Early Stage Venture, Seed",Hanse Ventures develops internet and mobile business concepts and implements these together with suitable founder teams.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-05-01,day,http://www.hanseventures.com,http://www.linkedin.com/company/hanse-ventures,19,2,
SaaSgarage,https://www.crunchbase.com/organization/saasgarage,"Angel Group, Family Investment Office, Micro VC",23,5,"Munich, Bayern, Germany","Early Stage Venture, Seed",The Pre-Seed Angel Fund for SaaS Startups,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-04-01,day,https://saasgarage.com/,https://www.linkedin.com/company/saasgarage.com/,16,6,1
blueworld.group,https://www.crunchbase.com/organization/blueworld-group,"Private Equity Firm, Venture Capital",23,3,"Frankfurt, Hessen, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",blueworld.group is a private equity and venture capital firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.blueworld.group/,https://www.linkedin.com/company/blueworldgroup/,21,2,
Companisto,https://www.crunchbase.com/organization/companisto,Angel Group,22,1,"Berlin, Berlin, Germany",Early Stage Venture,Companisto is an equity crowdinvesting platform for startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-06-01,month,https://www.companisto.com,https://www.linkedin.com/company/companisto/,22,12,
Deutsche Borse,https://www.crunchbase.com/organization/deutsche-boerse,Investment Bank,22,4,"Frankfurt, Hessen, Germany",Early Stage Venture,"Deutsche Borse is an exchange company providing investors, financial institutions and companies with access to global capital markets.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1990-01-01,year,http://deutsche-boerse.com,http://www.linkedin.com/company/deutsche-borse,17,9,1
KfW IPEX Bank,https://www.crunchbase.com/organization/kfw-ipex-bank,Investment Bank,22,10,"Frankfurt, Hessen, Germany",,KfW IPEX Bank is specialist financier for the German and European export industry.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,day,https://www.kfw-ipex-bank.de/Internationale-Finanzierung/KfW-IPEX-Bank/,https://www.linkedin.com/company/kfw-ipex-bank,22,7,7
JALE Beteiligungs GmbH,https://www.crunchbase.com/organization/jale-beteiligungs-gmbh,Angel Group,22,6,"Gräfelfing, Bayern, Germany",Seed,Startup Angel Investor,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-14,day,https://www.jale.vc/,https://www.linkedin.com/company/jale-vc,22,,
June Fund,https://www.crunchbase.com/organization/june-fund,"Private Equity Firm, Venture Capital",22,,"Berlin, Berlin, Germany","Early Stage Venture, Late Stage Venture, Private Equity, Seed",June Fund is a global technology investor. The firm was discontinued in 2022 and is no longer actively investing.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://www.june.fund,https://www.linkedin.com/company/magneticcap,13,7,
ApolloCapital,https://www.crunchbase.com/organization/apollocapital,"Private Equity Firm, Venture Capital",22,5,"Munich, Bayern, Germany","Early Stage Venture, Late Stage Venture, Seed, Venture",ApolloCapital is a private VC vehicle financing young internet companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-05-05,day,http://www.apollocapital.de,https://www.linkedin.com/company/53435484,17,3,
Heilemann Ventures,https://www.crunchbase.com/organization/heilemann-ventures,"Micro VC, Venture Capital",22,10,"Berlin, Berlin, Germany","Early Stage Venture, Seed","Heilemann Ventures is a seed stage VC with strong competencies in fields such as company building, strategy, sales, fundraising and exits.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-09-01,day,http://www.heilemann-ventures.com,http://www.linkedin.com/company/5051691,18,,
EuropeanPioneers,https://www.crunchbase.com/organization/european-pioneers,Accelerator,22,2,"Berlin, Berlin, Germany","Early Stage Venture, Grant, Non Equity Assistance, Seed",EuropeanPioneers is a startup accelerator that boosts digital SMEs and web entrepreneurs in the European media and content sector.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://europeanpioneers.eu/en/,https://www.linkedin.com/company/europeanpioneers,20,1,
Investitionsbank des Landes Brandenburg,https://www.crunchbase.com/organization/investitionsbank-des-landes-brandenburg,Investment Bank,21,,"Potsdam, Brandenburg, Germany",,Investitionsbank des Landes Brandenburg is a business promotion bank in the federal state of Brandenburg.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1992-01-01,year,https://www.ilb.de,https://www.linkedin.com/company/investitionsbank-des-landes-brandenburg-ilb/,13,9,
pd ventures,https://www.crunchbase.com/organization/pdv-inter-media-ventures,Corporate Venture Capital,21,9,"Augsburg, Bayern, Germany","Early Stage Venture, Late Stage Venture, Venture","pd ventures is a venture capital firm based in Augsburg, Germany.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-06-09,day,http://pdventures.de/,https://www.linkedin.com/company/pd-ventures/,14,3,1
Deutsche Venture Capital,https://www.crunchbase.com/organization/deutsche-venture-capital,"Private Equity Firm, Venture Capital",21,10,"München, Bayern, Germany",,Deutsche Venture Capital is a venture capital and private equity firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1998-01-01,year,http://www.dvcg.de,https://www.linkedin.com/company/dvc-deutsche-venture-capital/about/,17,6,2
Siemens Technology Accelerator,https://www.crunchbase.com/organization/siemens-technology-accelerator,"Accelerator, Venture Capital",21,3,"Munich, Bayern, Germany",Seed,Siemens Technology Accelerator is a non-strategic company builder and sells/licenses Siemens technologies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://www.sta.siemens.com/,https://www.linkedin.com/company/siemens,10,3,
Startupbootcamp Digital Health Berlin,https://www.crunchbase.com/organization/startupbootcamp-digital-health-berlin,Accelerator,21,,"Berlin, Berlin, Germany",,Startupbootcamp Digital Health Berlin Dedicated accelerator for global startups working in Digital Health.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.startupbootcamp.org/accelerator/digital-health-berlin/,https://www.linkedin.com/showcase/startupbootcamp-digital-health-berlin/about/,21,2,
