Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
ATW Automation acquired by Tesla,https://www.crunchbase.com/acquisition/tesla-motors-acquires-atw-automation--4bd8ac30,"Berlin, Berlin, Germany",ATW Automation,https://www.crunchbase.com/organization/atw-automation,Tesla,https://www.crunchbase.com/organization/tesla-motors,2020-10-02,day,Acquisition,,,,,ATW Automation is a supplier assembling battery modules and packs for the auto industry.,,"Battery, Manufacturing",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Tesla is an electric vehicle and clean energy company that provides electric cars, solar, and renewable energy solutions.","Automotive, Electric Vehicle, Energy, Manufacturing, Renewable Energy, Transportation","Austin, Texas, United States",Southern US,https://www.tesla.com,$10B+,20157213101,USD,20157213101,IPO,39,"83,725"
AVM acquired by Imker Capital Partners,https://www.crunchbase.com/acquisition/imker-capital-partners-acquires-avm--9b953a17,"Berlin, Berlin, Germany",AVM,https://www.crunchbase.com/organization/avm,Imker Capital Partners,https://www.crunchbase.com/organization/imker-capital-partners,2024-07-10,day,Acquisition,,,,,AVM offers a wide range of products broadband connectivity and smart home networking.,,Mobile,https://www.avm.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Imker Capital Partners provides flexible capital for long-term value creation that invests in private and public securities.,Venture Capital,"London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.imkercapital.com,,,,,,,"5,258"
B2P Communications Consulting acquired by Barabino & Partners,https://www.crunchbase.com/acquisition/barabino-partners-acquires-b2p-communications-consulting--8704c4d6,"Berlin, Berlin, Germany",B2P Communications Consulting,https://www.crunchbase.com/organization/b2p-communications-consulting,Barabino & Partners,https://www.crunchbase.com/organization/barabino-partners,2022-01-19,day,Acquisition,,,,,B2P Communications Consulting is a Franco-German consulting firm specializing in strategic communication and media relations.,,"Communications Infrastructure, Consulting, Public Relations",https://b2p-communications.com/fr/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Barabino & Partners is the most important Italian company operating within the corporate communication consultancy sector.,"Communications Infrastructure, Consulting, Public Relations","Milano, Lombardia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.barabino.it/,,,,,M&A,,"135,438"
Back acquired by Personio,https://www.crunchbase.com/acquisition/personio-acquires-backhq--7967e7de,"Berlin, Berlin, Germany",Back,https://www.crunchbase.com/organization/backhq,Personio,https://www.crunchbase.com/organization/personio,2022-05-24,day,Acquisition,,,,,Back Technologies is a software company that organizes and automates employee requests on one intuitive platform.,Seed,"Information Services, Information Technology, SaaS, Software",https://backhq.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,3300000,USD,3300000,Personio is the all-in-one HR software that upgrades your people operations for now and the future,"Employment, Human Resources, Information Technology, Recruiting, SaaS, Software","München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.personio.com,$100M to $500M,724332945,USD,724332945,Late Stage Venture,7,"43,602"
BackHub acquired by Rewind,https://www.crunchbase.com/acquisition/rewind-3-acquires-backhub--bae5878a,"Berlin, Berlin, Germany",BackHub,https://www.crunchbase.com/organization/backhub,Rewind,https://www.crunchbase.com/organization/rewind-3,2021-02-11,day,Acquisition,,,,,"BackHub is a reliable GitHub repository backup, set up in minutes",,"Software, Web Apps",https://backhub.co/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Rewind develops an automatic data backup platform.,"Database, SaaS, Security, Software","Ottawa, Ontario, Canada",Great Lakes,https://rewind.com,$1M to $10M,80071100,USD,80071100,Early Stage Venture,4,"68,971"
Banana Beauty acquired by GRENION Group,https://www.crunchbase.com/acquisition/grenion-group-acquires-banana-beauty--ee0b4b67,"Berlin, Berlin, Germany",Banana Beauty,https://www.crunchbase.com/organization/banana-beauty,GRENION Group,https://www.crunchbase.com/organization/grenion-group,2022-12-01,day,Acquisition,,,,,Banana Beauty is a makeup brand that is developed by the online community – for the community.,Undisclosed,"Beauty, E-Commerce",https://www.bananabeauty.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,1,,,,Grenion is a platform for brand building that offers beauty and wellness products.,"Beauty, Health Care, Venture Capital","Mannheim, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://grenion.com/,,,,,Seed,1,"31,625"
Banana Beauty acquired by Henkel,https://www.crunchbase.com/acquisition/henkel-acquires-banana-beauty--c8d4e696,"Berlin, Berlin, Germany",Banana Beauty,https://www.crunchbase.com/organization/banana-beauty,Henkel,https://www.crunchbase.com/organization/henkel,2020-07-31,day,Acquisition,,,,,Banana Beauty is a makeup brand that is developed by the online community – for the community.,Undisclosed,"Beauty, E-Commerce",https://www.bananabeauty.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,1,,,,"Henkel leads with innovations, brands, and technologies to create sustainable value.","Beauty, Cleaning Products, Consumer, Fast-Moving Consumer Goods, Personal Care and Hygiene","Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.henkel.com,$10B+,,,,IPO,,"34,219"
Banbaloo acquired by Yaba,https://www.crunchbase.com/acquisition/yaba-533c-acquires-banbaloo--57b49973,"Berlin, Berlin, Germany",Banbaloo,https://www.crunchbase.com/organization/banbaloo,Yaba,https://www.crunchbase.com/organization/yaba-533c,2021-07-01,day,Acquisition,,,,,Banbaloo is a roller Manufactured company.,,"Health Care, Manufacturing",https://banbaloo.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Yaba is an operator of an online brand management platform intended to buy, finance, and support the growth of businesses based on amazon.",Consumer Goods,"Barcelona, Catalonia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.goyaba.co/,,144462461,USD,144462461,Early Stage Venture,3,"72,231"
BaseTemplates acquired by Wizard Ventures,https://www.crunchbase.com/acquisition/wizard-ventures-acquires-basetemplates-com--9b9f1b29,"Berlin, Berlin, Germany",BaseTemplates,https://www.crunchbase.com/organization/basetemplates-com,Wizard Ventures,https://www.crunchbase.com/organization/wizard-ventures,2022-08-01,month,,,,,,High-Quality Pitch Deck & Presentation Templates designed by Experts that help you launch your startup fast and cost-effective.,,,https://www.basetemplates.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,"We build, buy and operate online businesses",,"Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.wizardventures.co/,,,,,,,"128,986"
Baze acquired by Nature's Way,https://www.crunchbase.com/acquisition/nature-s-way-acquires-sanalytica--e44f581a,"Berlin, Berlin, Germany",Baze,https://www.crunchbase.com/organization/sanalytica,Nature's Way,https://www.crunchbase.com/organization/nature-s-way,2021-02-02,day,Acquisition,,,,,"Baze are enable every person to achieve their best health through a science-led, results-driven food and supplement platform.",Series A,"Beauty, Fitness, Health Care, Wellness",https://www.baze.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,6000000,USD,6000000,Nature’s Way is the most recognized and trusted manufacturers of dietary supplements and vitamins.,"Fitness, Health Care, Wellness","Green Bay, Wisconsin, United States","Great Lakes, Midwestern US",https://www.naturesway.com/,,,,,,,"43,407"
Belyntic acquired by Mesa Laboratories,https://www.crunchbase.com/acquisition/mesa-laboratories-acquires-belyntic--a4653340,"Berlin, Berlin, Germany",Belyntic,https://www.crunchbase.com/organization/belyntic,Mesa Laboratories,https://www.crunchbase.com/organization/mesa-laboratories,2022-11-17,day,Acquisition,,,,,Novel paradigm-shifting vaccines with emphasis on cellular immunity,Non-equity Assistance,"Biotechnology, Health Care, Life Science, Pharmaceutical",https://belyntic.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,3320000,EUR,3788227,"Mesa Laboratories acquires, develops, manufactures and markets high-quality measurement instruments and accessories relied upon by","Biotechnology, Manufacturing, Medical Device, Robotics, Test and Measurement","Lakewood, Colorado, United States","Greater Denver Area, Western US",http://www.mesalabs.com,$100M to $500M,221069954,USD,221069954,IPO,2,"13,263"
Benefitsy acquired by Hrmony,https://www.crunchbase.com/acquisition/hrmony-acquires-benefitsy--429cd117,"Berlin, Berlin, Germany",Benefitsy,https://www.crunchbase.com/organization/benefitsy,Hrmony,https://www.crunchbase.com/organization/hrmony,2023-03-20,day,Acquisition,,,,,Benefitsy is the smart benefits manager that employers can use to give their employees the full range of tax-free benefits.,,"Consulting, Financial Services",https://benefitsy.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Hrmony is a platform for smart employer branding, motivating and retaining employees with tax-free subsidies for lunch and shopping.","Employee Benefits, FinTech, Software","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.hrmony.de,$1M to $10M,1020000,USD,1020000,,3,"50,359"
Bento acquired by Linktree,https://www.crunchbase.com/acquisition/linktree-acquires-bento-e2b9--b7f6d871,"Berlin, Berlin, Germany",Bento,https://www.crunchbase.com/organization/bento-e2b9,Linktree,https://www.crunchbase.com/organization/linktree,2023-06-05,day,Acquisition,,,,,Bento is a creator collaboration platform that connects creators with common interests and complementary skill sets.,Pre-Seed,"Content Creators, Internet",https://bento.me/en/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,1,1600000,USD,1600000,Linktree is a software firm that provides a platform to make user's online content more discoverable and easy to manage.,"E-Commerce, Internet, Social Media, Software","Collingwood, Victoria, Australia","Asia-Pacific (APAC), Australasia",https://linktr.ee,$10M to $50M,167354249,USD,167354249,Early Stage Venture,4,"135,897"
Berlin Videowall acquired by Wildstone,https://www.crunchbase.com/acquisition/wildstone-acquires-berlin-videowall--b0c699f7,"Berlin, Berlin, Germany",Berlin Videowall,https://www.crunchbase.com/organization/berlin-videowall,Wildstone,https://www.crunchbase.com/organization/wildstone,2024-06-05,day,Acquisition,,,,,Berlin Videowall provides advertising services.,,"Advertising, Service Industry",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Wildstone Capital are specialists in land acquisition and production for outdoor advertising locations.,"Advertising, Graphic Design, Outdoors","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://wildstone.co.uk/,,350000000,GBP,445045751,M&A,1,"5,186"
Beta Systems acquired by SPARTA,https://www.crunchbase.com/acquisition/sparta-d1cf-acquires-beta-systems-computer-ag--0f062850,"Berlin, Berlin, Germany",Beta Systems,https://www.crunchbase.com/organization/beta-systems-computer-ag,SPARTA,https://www.crunchbase.com/organization/sparta-d1cf,2022-09-30,day,Acquisition,Stock,,,,"Beta Systems Software develops, markets, and supports system management software products for enterprise computing environments.",,"Information Technology, Software",http://www.betasystems.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$50M to $100M,M&A,,,,,SPARTA AG is an investment company based in Heidelberg.,Stock Exchanges,"Ziegelhausen, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.sparta.de,,,,,,,"139,011"
Better Payment acquired by Deutsche Bank,https://www.crunchbase.com/acquisition/deutsche-bank-acquires-better-payment--785e8ef3,"Berlin, Berlin, Germany",Better Payment,https://www.crunchbase.com/organization/better-payment,Deutsche Bank,https://www.crunchbase.com/organization/deutsche-bank,2021-09-20,day,Acquisition,,,,,"Our mission is the most innovative payment gateway in the world to develop, make payments online and to accept in Mobile Applications.",,"E-Commerce, Internet, Mobile Payments",http://betterpayment.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Deutsche Bank, a Frankfurt-based global investment bank, offers financial products and services to corporate and institutional clients.","Banking, Finance, Financial Services","Frankfurt, Hessen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.db.com,$10B+,1500000000,USD,1500000000,IPO,5,"160,226"
Beyontics GmbH acquired by Zifo RnD Solutions,https://www.crunchbase.com/acquisition/zifo-technologies-acquires-beyontics-gmbh--0ba5744d,"Berlin, Berlin, Germany",Beyontics GmbH,https://www.crunchbase.com/organization/beyontics-gmbh,Zifo RnD Solutions,https://www.crunchbase.com/organization/zifo-technologies,2023-01-01,day,Acquisition,,,,,Beyontics makes laboratory data systems in the chemical and pharmaceutical sector more efficient and reliable.,,"Health Care, Pharmaceutical",https://www.beyontics.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,"Zifo Technologies offers research and development, and data management services for enterprise laboratories.","Data Management, Information Technology","Lindenhurst, New York, United States","Greater New York Area, East Coast, Northeastern US",http://www.zifoRnd.com,$100M to $500M,,,,M&A,,"24,346"
Bird Eats Bug acquired by BrowserStack,https://www.crunchbase.com/acquisition/browserstack-acquires-bird-eats-bug--41de698f,"Berlin, Berlin, Germany",Bird Eats Bug,https://www.crunchbase.com/organization/bird-eats-bug,BrowserStack,https://www.crunchbase.com/organization/browserstack,2024-08-27,day,Acquisition,,20000000,USD,20000000,Bird Eats Bug helps to report and fix bugs much faster.,Pre-Seed,"Collaboration, Developer Tools, Productivity Tools, Video",https://thebirdeatsbug.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,1500000,EUR,1822620,BrowserStack is a technology-based platform that specializes in powering web and app testing such as testing iOS and Android mobile apps.,"Android, Apps, iOS","Dublin, Dublin, Ireland","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.browserstack.com/,$100M to $500M,250000000,USD,250000000,Early Stage Venture,2,"7,680"
Blinkist acquired by Go1,https://www.crunchbase.com/acquisition/go1-acquires-blinkist--f0df8a7e,"Berlin, Berlin, Germany",Blinkist,https://www.crunchbase.com/organization/blinkist,Go1,https://www.crunchbase.com/organization/go1,2023-05-08,day,Acquisition,,,,,Blinkist offers an app that allows its users to read the most important insights from non-fiction books in 15 minutes.,Series C,"Books, Education, Mobile Apps, Reading Apps",https://blinkist.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,5,34771978,USD,34771978,GO1 allows companies to upscale their workforce with on-demand training and a dynamic content-driven platform.,"Business Development, Corporate Training, E-Learning, SaaS","Brisbane, Queensland, Australia","Asia-Pacific (APAC), Australasia",http://www.go1.com,$500M to $1B,413708345,USD,413708345,,10,"16,367"
Bombardier Transportation acquired by Alstom,https://www.crunchbase.com/acquisition/alstom-acquires-bombardier-transportation--f79b60e1,"Berlin, Berlin, Germany",Bombardier Transportation,https://www.crunchbase.com/organization/bombardier-transportation,Alstom,https://www.crunchbase.com/organization/alstom,2020-02-18,day,Acquisition,,8200000000,USD,8200000000,Bombardier Transportation continuously breaks new ground in sustainable mobility by providing integrated solutions.,,Transportation,https://www.rail.bombardier.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Alstom is a global leader in the world of power generation, power transmission, and rail infrastructure.","Energy Efficiency, Infrastructure, Transportation","Saint-ouen, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.alstom.com/,$10B+,17707388,USD,17707388,,3,"132,152"
bonify acquired by SCHUFA Holding,https://www.crunchbase.com/acquisition/schufa-holding-acquires-bonify--eb475a2e,"Berlin, Berlin, Germany",bonify,https://www.crunchbase.com/organization/bonify,SCHUFA Holding,https://www.crunchbase.com/organization/schufa-holding,2022-12-20,day,Acquisition,,,,,Bonify is a Fintech startup based in Berlin that offers credit scoring tools and services to its users.,Series C,"Credit, Finance, Financial Services, FinTech, Personal Finance",https://www.bonify.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,4,5500000,EUR,5834949,Schufa Holding AG is a German private credit bureau supported by creditors.,Financial Services,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.schufa.de/en/,$100M to $500M,,,,,,"164,767"
