Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
001710,Advanced Blockchain,Pre-Seed,,2018-01-01,,,[''],000314
001711,Advanced Blockchain,Angel,,2018-04-01,,,[''],000314
001712,ai4medicine,Seed,,2018-01-01,,1.0,['Startupbootcamp'],000321
001713,AICURA medical,Venture - Series Unknown,500000.0,2018-09-25,,,[''],000322
001714,Aignostics,Pre-Seed,200000.0,2018-07-18,,,[''],000323
001715,AIPARK,Seed,850000.0,2018-09-07,Atlantic Labs,2.0,"['Angel Invest', 'Atlantic Labs']",000324
001716,AirGateway,Pre-Seed,,2018-11-05,HTGF | High-Tech Gruenderfonds,1.0,['HTGF | High-Tech Gruenderfonds'],000326
001717,Airteam Aerial Intelligence,Pre-Seed,400000.0,2018-10-02,,1.0,['Startupbootcamp'],000328
001718,AiSight,Grant,75000.0,2018-07-01,European Social Fund (ESF),1.0,['European Social Fund (ESF)'],000330
001719,AiSight,Pre-Seed,250000.0,2018-11-09,SOSV,2.0,"['HAX', 'SOSV']",000330
001720,Allmyhomes,Venture - Series Unknown,,2018-09-26,,1.0,['Round Hill Ventures'],000334
001721,ALLVR,Venture - Series Unknown,,2018-06-01,,1.0,['blackprint'],000335
001722,Alpaca,Pre-Seed,100000.0,2018-12-10,,6.0,"['Alumni Ventures', 'Canaan Partners', 'Correlation Ventures', 'Elysium Venture Capital', 'Lightspeed Venture Partners', 'NextView Ventures']",000000
001723,alphin,Seed,,2018-06-26,HV Capital,3.0,"['HV Capital', 'Partech', 'Saarbruecker 21']",000336
001724,Anyl,Pre-Seed,,2018-06-01,,,[''],000339
001725,Asana Rebel,Series B,17400000.0,2018-09-04,"Greycroft, Headline",3.0,"['Greycroft', 'Headline', 'HTGF | High-Tech Gruenderfonds']",000345
001726,Asana Rebel,Series A,6500000.0,2018-01-02,"Headline, La Famiglia",3.0,"['Headline', 'HTGF | High-Tech Gruenderfonds', 'La Famiglia']",000345
001727,AskBy.ai,Seed,,2018-03-01,SquareOne Venture Capital,1.0,['SquareOne Venture Capital'],000346
001728,AssistMe,Seed,600000.0,2018-01-25,,,[''],000348
001729,Atheneum,Venture - Series Unknown,10000000.0,2018-09-13,Crosslantic Capital,1.0,['Crosslantic Capital'],000000
001730,AUTO1 Fintech,Venture - Series Unknown,,2018-06-06,,3.0,"['Allianz X', 'Deutsche Bank', 'Polar Light Ventures']",000354
001731,AUTO1 Group,Series F,460000000.0,2018-01-15,SoftBank Vision Fund,2.0,"['DN Capital', 'SoftBank Vision Fund']",000000
001732,Autobahn,Seed,500000.0,2018-05-02,,,[''],000355
001733,AVA,Seed,1800000.0,2018-03-07,,,[''],000000
001734,B2B Food Group,Series A,,2018-11-22,,5.0,"['Avala Capital', 'Confidential \u200f\u200f\u200e \u200e\u200f\u200f\u200e \u200e\u200f\u200f\u200e \u200e\u200f\u200f\u200e \u200e', 'Global Founders Capital', 'HV Capital', 'Target Global']",000360
001735,Basaas - Enterprise Productivity Hub,Pre-Seed,150000.0,2018-09-13,,,[''],000000
001736,Basking.io,Seed,120000.0,2018-09-10,Techstars,1.0,['Techstars'],000365
001737,Baze,Venture - Series Unknown,,2018-05-31,,2.0,"['Ringier Digital Ventures', 'Sanner Ventures']",000000
001738,BEAD Technology,Grant,,2018-09-27,European Data Incubator,1.0,['European Data Incubator'],000367
001739,BEAD Technology,Seed,,2018-01-01,,,[''],000367
